domain,ttl,ip_count,ns_count,label
modern-finding.com,300.0,10,4,1
service-finest.com,300.0,10,4,1
super-meds-power.com,300.0,10,4,1
underwayservice.com,300.0,10,4,1
coolest-cyber-zone.com,300.0,10,4,1
e-advice-center.com,300.0,10,4,1
iwwmkkdi.cn,180.0,11,4,1
iixhhwmc.cn,180.0,13,4,1
iixdfhhj.cn,180.0,13,4,1
iiwwexpd.cn,180.0,13,4,1
iiimlfex.cn,180.0,11,4,1
iiidhwwf.cn,180.0,11,4,1
iidwhxdf.cn,180.0,13,4,1
idsrt-d02.eu,1800.0,20,4,1
idlkhhcx.cn,180.0,11,4,1
idfixhim.cn,180.0,13,4,1
wwhhcfid.cn,180.0,12,4,1
munsenblues.com,1800.0,12,5,1
movespring.com,1800.0,16,5,1
web-win-win.com,300.0,11,4,1
tops-service.com,300.0,11,4,1
netfirms.com,600.0,11,2,1
best-rx-onlinestore.com,300.0,11,4,1
on-trahelp.com,300.0,11,4,1
on-trahelp.com,300.0,11,4,1
densitytrim.net,1800.0,8,2,1
night69.com,600.0,7,5,1
dfidgxgf.cn,180.0,12,4,1
gyyeewsd.cn,180.0,12,4,1
fswperte.cn,180.0,13,4,1
fswewpwe.cn,180.0,13,4,1
fspryege.cn,180.0,13,4,1
fsgrrige.cn,180.0,13,4,1
magic-cyber-place.com,300.0,11,4,1
meds-originals.com,300.0,11,4,1
rsqh.diexgwdi.cn,180.0,13,4,1
tqeo.diexgwdi.cn,180.0,13,4,1
sqzt.fhhfewmv.cn,180.0,13,4,1
sbev.fhhfewmv.cn,180.0,13,4,1
skx.fhhfewmv.cn,180.0,13,4,1
bpg.fhhfewmv.cn,180.0,13,4,1
kfy.fhhfewmv.cn,180.0,13,4,1
kvz.fhhfewmv.cn,180.0,13,4,1
rla.fhhfewmv.cn,180.0,13,4,1
kqwt.fhhfewmv.cn,180.0,13,4,1
kbj.fhhfewmv.cn,180.0,13,4,1
rmcg.fhhfewmv.cn,173.0,13,4,1
tsu.fhhfewmv.cn,180.0,13,4,1
sstf.fhhfewmv.cn,180.0,13,4,1
kcsg.fhhfewmv.cn,180.0,13,4,1
spm.fhhfewmv.cn,180.0,12,4,1
svql.fhhfewmv.cn,176.0,13,4,1
spbt.fhhfewmv.cn,175.0,13,4,1
srq.fhhfewmv.cn,180.0,13,4,1
sfk.fhhfewmv.cn,180.0,12,4,1
swfo.fhhfewmv.cn,180.0,12,4,1
svmq.fhhfewmv.cn,180.0,13,4,1
sji.fhhfewmv.cn,180.0,13,4,1
strg.fhhfewmv.cn,180.0,12,4,1
sbxz.fhhfewmv.cn,180.0,12,4,1
spnr.fhhfewmv.cn,180.0,13,4,1
klx.fhhfewmv.cn,167.0,13,4,1
swr.dihmmihh.cn,180.0,13,4,1
sezg.dihmmihh.cn,180.0,13,4,1
swbc.dihmmihh.cn,180.0,13,4,1
klaz.dihmmihh.cn,180.0,13,4,1
rzon.dihmmihh.cn,180.0,13,4,1
kny.dihmmihh.cn,180.0,13,4,1
kgai.dihmmihh.cn,180.0,13,4,1
ksrm.dihmmihh.cn,180.0,13,4,1
glk.dihmmihh.cn,180.0,13,4,1
gnsj.dihmmihh.cn,180.0,13,4,1
gyw.dfiwccb.cn,180.0,13,4,1
ggmo.dfiwccb.cn,180.0,13,4,1
sblq.dfiwccb.cn,180.0,13,4,1
bko.dfiwccb.cn,180.0,13,4,1
bzf.dfiwccb.cn,180.0,13,4,1
sruz.dfiwccb.cn,178.0,13,4,1
rphs.dfiwccb.cn,180.0,13,4,1
kxqy.dfiwccb.cn,180.0,12,4,1
swpt.dfiwccb.cn,180.0,13,4,1
klip.dfiwccb.cn,180.0,13,4,1
rot.dfiwccb.cn,180.0,13,4,1
scii.dfiwccb.cn,180.0,13,4,1
rmp.idcexdfh.cn,180.0,13,4,1
rfj.idcexdfh.cn,180.0,13,4,1
kwd.idwjklwd.cn,180.0,13,4,1
snxz.dfiwccb.cn,180.0,13,4,1
sqh.dfiwccb.cn,180.0,13,4,1
kur.idwjklwd.cn,180.0,13,4,1
syi.idwjklwd.cn,180.0,13,4,1
sonc.idwjklwd.cn,180.0,13,4,1
kuz.dfhijjew.cn,180.0,13,4,1
klgt.dfhijjew.cn,180.0,13,4,1
gre.iixdfhhj.cn,180.0,13,4,1
rixs.fxwjjmcf.cn,180.0,13,4,1
gkl.iixdfhhj.cn,180.0,13,4,1
kcd.idwjklwd.cn,180.0,13,4,1
ryw.fxwjjmcf.cn,180.0,13,4,1
kdb.idwjklwd.cn,180.0,13,4,1
ktn.fhkxmxif.cn,180.0,13,4,1
kgao.fhkxmxif.cn,180.0,13,4,1
ryr.dfiwccb.cn,180.0,13,4,1
rmw.dfiwccb.cn,180.0,13,4,1
kef.dfiwccb.cn,140.0,13,4,1
kia.dfiwccb.cn,180.0,13,4,1
koyj.dfiwccb.cn,180.0,13,4,1
kxe.dfiwccb.cn,180.0,13,4,1
kxy.dfiwccb.cn,180.0,13,4,1
kxpn.dfiwccb.cn,180.0,13,4,1
kkxg.dfiwccb.cn,180.0,13,4,1
kkzp.dfiwccb.cn,180.0,13,4,1
kpro.dfiwccb.cn,180.0,13,4,1
kchd.dfiwccb.cn,180.0,13,4,1
kfp.dfiwccb.cn,180.0,13,4,1
kpn.dfiwccb.cn,158.0,13,4,1
ktnq.dfiwccb.cn,180.0,13,4,1
kew.dfiwccb.cn,180.0,13,4,1
kfxl.dfiwccb.cn,168.0,13,4,1
kdte.dfiwccb.cn,180.0,13,4,1
kcjl.dfiwccb.cn,150.0,13,4,1
kuih.dfiwccb.cn,180.0,12,4,1
sdg.dfiwccb.cn,178.0,13,4,1
shd.dfiwccb.cn,180.0,13,4,1
skrt.dfiwccb.cn,180.0,13,4,1
sfni.dfiwccb.cn,180.0,13,4,1
ryf.dfiwccb.cn,180.0,13,4,1
rikw.dfiwccb.cn,180.0,13,4,1
ramw.dfiwccb.cn,180.0,13,4,1
rqpz.dfiwccb.cn,103.0,12,4,1
rfg.dfiwccb.cn,180.0,13,4,1
